(-2/-3),Type,AB,Site,M,Cov_rad.1+Mend_num,At_vol.1+Mend_num,At_rad_2.1+Mend_num,Valence.1-At_rad_2.1,Cov_rad.1+Electronegativity,At_rad_2.1+Electronegativity,Elec_Aff.1+Ion_Energy.1,Valence.1+Ion_pot_2.1,At_rad_2.1-Ion_Energy,At_rad_2.1-Elec_cond,Ion_pot_1.1+Ion_Energy,Ion_Energy.1+Ion_Energy,Ion_pot_1.1+Ion_pot_1,Ion_Energy.1+Ion_pot_1,abs(Electronegativity.1-Ion_rad.1),Ion_pot_1.1+Elec_cond,Ion_Energy.1+Elec_cond,PBE_gap,Ion_pot_2.1-ICSD_vol,Ion_pot_1.1-ICSD_vol,Ion_Energy.1-ICSD_vol,At_vol.1/Elec_Aff,Therm_cond.1^-1,Therm_cond.1+At_rad_2,Thermal_expn.1-Ion_pot_2.1,Therm_cond.1-Therm_cond,At_rad_2.1-Therm_cond,Heat_vap+At_vol,Heat_vap+ICSD_vol,Therm_cond.1+At_wt,At_vol+BP,ICSD_vol+BP,Sp_heat_cap.1/Mend_num,CM8+Therm_cond.1,Therm_cond.1*Electronegativity,Electronegativity+ICSD_vol,Ion_pot_2.3+At_rad_2.1,exp(PBE_gap),ICSD_vol.1*Thermal_expn,ICSD_vol.1*Ion_rad,CM6*MP.1,Mend_num.1/Eps_ion,Ox_state.1+Therm_cond,At_vol.1*Ion_rad,Valence.1-At_rad_2,Heat_vap.1+Elec_cond,At_rad_1.1-Cov_rad.1,Elec_cond/Eps_ion,At_rad_2.1*Eps_ion,At_rad_2.2+MP.1,At_wt/Cov_rad.1,At_vol.1*Density,At_num/Cov_rad.1,Ox_state.1-ICSD_vol,Cov_rad/At_rad_2.1,Mend_num.1*Eps_elec,Ion_pot_2/PBE_delta_H,Density/Density.1,At_rad_2.3+Ion_rad.2,Cov_rad.3-CM5,Ion_pot_2.3-Cov_rad.3,ICSD_vol.3+At_rad_2.2,Cov_rad/Eps_ion,Ion_pot_2.3-ICSD_vol.3,At_rad_2.2-Period.1,Heat_vap.3-At_rad_2.3,At_rad_2.2-Cov_rad.1,Heat_vap.1/At_rad_1.3,Electronegativity.3-Ion_rad.2,Ion_rad.3-Ion_Energy.2,Heat_vap.1/Cov_rad.3,At_vol/At_rad_1.1,Ion_rad.3-Ion_pot_1.2,ICSD_vol.3+At_wt.3,At_rad_2.3-CM5,Period.3-Ox_state.2,At_rad_2.3-BP.3,Ion_rad/Period.1,Ion_pot_1.3-Ion_rad.2,At_wt.3-Density.2,MP.3-At_rad_2.2,Ox_state.1/Cov_rad.3,Ion_rad.3+At_rad_1.2,At_rad_2.2+Sp_heat_cap.1,Heat_fusion.3-At_rad_1.3,Electronegativity.2-Ion_rad.2,At_rad_2.3+At_vol.2
4.22428133,II-VI,ZnS,M_i_neut,Zr,-1.194923804,-1.334250054,-1.14565706,-1.38916319,-0.912838305,-0.917135471,1.601188207,1.459344103,1.095469629,0.649298699,0.913280353,0.913233322,1.022074911,1.022073265,1.143170049,0.385949674,0.38579987,0.921531414,-0.64434801,-0.401928952,-0.401773023,-2.324188095,-0.566487935,-0.71214577,0.838529141,0.705608898,0.468103815,-1.886334549,-1.905743903,-0.520617632,-1.880689577,-1.888954333,-1.962232578,-0.748096128,0.58277209,-1.337323781,-0.552366904,0.017723185,0.08897548,0.006647645,0.391870637,-0.060318935,1.836105599,-0.171024106,-1.19304131,-0.006028577,-1.578021871,0.170686154,-0.054622747,-0.052564916,-0.790263326,-0.058054407,-0.643337259,-2.137126949,-0.247391707,-1.02589984,0.018068746,-0.152763519,0.128049113,-0.436664772,0.408830831,0.145621106,0.368778987,0.182541156,-0.59496483,-0.681711907,-0.504715227,-0.160940136,0.274575369,-0.151840934,-0.226433996,-0.033475359,-0.290614527,-0.228390729,-0.547703822,0.392978113,0.579219859,-0.170342829,0.199215926,-0.002326123,-0.173446781,0.059837839,0.030203595,0.689751365,-0.116644674,0.368026194,0.067657332
2.60543603,IV-IV,SnC,M_i_neut,Br,0.375078646,-0.686152196,0.554520409,-0.146470371,-0.375797943,-0.117694479,0.684334831,-0.220548972,0.512950204,0.58212224,0.168888684,0.168717951,0.36255418,0.362415086,1.676017201,0.221667982,0.221491202,-0.484608581,0.647982193,0.710013896,0.710170244,-0.041331733,-0.600911336,-0.114636429,1.715289409,0.102661975,0.321820864,1.621726243,1.633575048,0.609740501,1.791527125,1.794394207,2.338055699,-0.941636705,-0.926423143,1.894928706,-0.407174515,-0.314197522,-0.849160197,-1.37965033,-2.683954438,-0.482507237,-0.170379385,-1.492148278,0.946063474,2.112895432,-0.034505527,-5.399806358,-1.367812623,0.853675606,-0.043388371,-2.358895465,-0.213916886,0.879929761,-0.15321172,0.927049598,0.011359987,-0.14490915,0.868675863,0.172500803,-0.572411142,0.345860145,0.147344803,1.115232141,0.128295729,-0.059003014,0.107989933,-0.227424614,0.704463834,-0.296248745,-0.170156746,-0.350183207,-0.294292467,1.032688315,0.616727633,-0.771668727,-0.080267338,-0.703162416,0.76757012,-0.543530258,-0.303923198,-0.972023704,0.658639489,-0.639396659,-0.222660303,0.505424776,-0.233592365
4.27940701,II-VI,ZnS,M_i_A,Ta,-1.194923804,-1.334250054,-1.14565706,-1.38916319,-0.912838305,-0.917135471,1.601188207,1.459344103,1.095469629,0.649298699,0.913280353,0.913233322,1.022074911,1.022073265,1.143170049,0.385949674,0.38579987,0.921531414,-0.64434801,-0.401928952,-0.401773023,-2.324188095,-0.566487935,-0.71214577,0.838529141,0.705608898,0.468103815,-1.886334549,-1.905743903,-0.520617632,-1.880689577,-1.888954333,-1.962232578,-0.621061033,0.58277209,-1.337323781,-0.441057555,0.017723185,0.08897548,0.006647645,0.141326733,-0.060318935,1.836105599,-0.171024106,-1.19304131,-0.006028577,-1.578021871,0.170686154,-0.054622747,-0.141869239,-0.790263326,-0.058054407,-0.643337259,-2.137126949,-0.247391707,-1.02589984,0.018068746,-0.152763519,-0.255484804,-0.17506138,0.126095699,-0.102189875,0.368778987,-0.122855905,-0.505660507,-1.199818256,-0.415410904,0.200813714,-0.221786344,0.455915403,0.04757312,-0.033475359,0.475010649,0.359799736,-0.435053019,0.450874826,1.108011295,-0.170342829,-0.548879011,0.730533531,-1.068000711,0.008003156,-0.517142038,0.600447042,-0.897246668,-0.157764288,-0.167308106
3.00050508,III-V,InN,M_i_B,Cs,-0.718114279,0.946975319,-0.704050152,-1.421339183,-1.178066707,-1.152091635,0.011322119,1.533024554,0.119511898,0.63118967,0.492485358,0.492479259,0.773501209,0.773555243,-0.816095836,0.953812973,0.953739069,-0.513470074,-0.093918997,-0.422566026,-0.422494152,-0.08020457,-0.561114388,0.671790445,1.184721564,0.316304571,0.856081873,0.948676107,0.974562395,0.485852342,1.112850501,1.132356744,0.071037624,-0.762427981,-0.067811754,0.90731498,-0.54041579,-0.317263193,-0.288087602,-0.241158009,0.824624011,0.609050175,-0.737065223,0.237436031,1.006317422,-0.986880536,-0.718276379,0.429803149,1.616389755,1.238802715,-0.053198753,0.334025283,-0.239489335,1.519075641,-0.180327199,0.622102122,-5.110126738,-0.166047579,2.703949052,-2.343508963,1.242777223,2.768343471,-0.23847241,1.001363474,-2.703927086,2.166908308,-2.781361036,-2.316272217,2.303442874,-2.356197811,-2.34549676,-0.382887542,-2.365189188,1.56516765,-1.937506191,-1.76262543,-2.380469051,-0.398431605,2.407001989,-1.649849915,2.678712624,-1.351808521,3.019599872,2.9723593,2.106151946,2.489474016,4.192038265
3.01137188,IV-IV,GeC,M_i_neut,Re,0.167800905,-0.991796327,0.367087666,-0.146470371,-0.169442476,0.07383116,0.684334831,-0.220548972,0.773628346,0.106286578,0.453800514,0.453664757,0.626922459,0.62682517,1.676017201,-0.249960992,-0.250131074,0.560460013,0.075060302,0.147609771,0.147780843,-0.038450215,-0.600911336,-0.706118247,1.715289409,0.025671129,0.246270684,1.132833356,1.088445742,-0.334906821,1.23821175,1.190950896,1.946052145,-0.77613123,-1.16006583,1.422079474,-0.954792706,-0.115531282,2.215077812,0.263402388,-1.481190147,-0.126324279,-0.244055193,0.335814173,0.343500093,1.498565511,-0.034505527,0.063948529,0.542148504,1.938085242,-0.424626508,-0.201806758,-1.339015351,0.270727442,-2.642849249,-3.534194812,0.011158082,-2.596884494,-0.54651491,-0.091145742,0.157404457,-0.31909971,-2.098399615,-0.079998806,-0.956113907,-1.238413558,-0.976419703,-0.110711816,-0.773714191,0.613903995,-0.086995,-0.714842486,0.635061867,0.31091239,-0.338034216,1.557624954,1.306340681,1.502354985,-0.739680311,1.571959925,-1.34175288,-0.371683836,-0.760370919,0.445012977,-0.878992955,-0.780161336,-0.384498807
2.63814636,III-V,BP,M_i_B,Ta,-0.459482144,-0.044517171,-0.30212784,-0.166576171,0.815512503,0.87855626,-0.551669948,-0.037691808,0.28342569,-0.571602441,0.393104898,0.392865634,-0.884634159,-0.885069016,-0.717841573,-0.490969552,-0.491223321,0.166692375,-1.089255639,-1.308497745,-1.308200787,-0.144378113,-0.565728479,-1.777658922,-0.659001019,-0.316267016,-0.854952158,-0.289801487,-0.244005585,-1.639907646,-0.223074174,-0.178628419,-0.601707511,-0.034817759,-1.378413961,-0.580898523,-0.152596708,-0.215269829,0.237035322,0.403455629,-0.108416401,2.70216606,0.125795278,-0.991415651,-1.49432061,-1.19019801,-0.834644207,0.267441529,0.085906531,-0.190591933,0.030182915,-0.815131706,0.026894058,-2.322942543,-0.07441157,0.437435827,0.015078706,-0.078656428,-0.255484804,-0.147676414,0.126095699,-0.102189875,-0.022033503,-0.122855905,-0.505660507,-1.199818256,-0.301154596,0.204898512,-0.221786344,0.455915403,0.04901079,-0.04197765,0.475010649,0.359799736,-0.407482396,0.450874826,1.108011295,0.090655164,-0.548879011,0.730533531,-1.068000711,-0.004115505,-0.517142038,0.738562524,-0.897246668,-0.157764288,-0.167308106
2.91907976,II-VI,CdO,M_i_A,Ta,-1.811307205,-1.401406415,-1.842093145,0.88709528,-1.60889563,-1.712403321,2.123165999,-0.360739222,1.838870337,1.461069573,1.825704743,1.825765185,1.978511334,1.978656278,0.514926024,1.281164341,1.280997708,-0.62952153,-1.313682538,-0.674166365,-0.673999163,1.750907399,-0.566452139,-0.179851941,-1.787669836,0.485017863,1.255678555,-0.812861004,-0.846517615,0.442839431,-0.89504058,-0.92238924,-0.727003762,-0.84338843,0.381862918,-0.200516333,-1.347648788,-0.328734649,-0.981295759,-1.264923684,0.69112904,0.366544584,-1.301551783,-0.583515866,2.482604877,-0.186592097,2.759046375,1.021818469,-3.019984993,-0.36134904,-0.061908352,-0.493451754,-0.267675497,1.688628067,-0.224305545,-0.01847833,0.016302224,-0.141172709,-0.255484804,-0.218673394,0.126095699,-0.102189875,0.175968416,-0.122855905,-1.109207032,-1.199818256,-1.243769136,0.190307318,-0.221786344,0.455915403,0.04387533,-1.331494791,0.475010649,0.359799736,-0.478960702,0.450874826,1.108011295,-0.227691474,-0.548879011,0.730533531,-1.068000711,0.042481601,-0.517142038,1.092044521,-0.897246668,-0.157764288,-0.167308106
3.27462588,IV-IV,GeC,M_B,Nb,0.167800905,-0.991796327,0.367087666,-0.146470371,-0.169442476,0.07383116,0.684334831,-0.220548972,0.773628346,0.106286578,0.453800514,0.453664757,0.626922459,0.62682517,1.676017201,-0.249960992,-0.250131074,0.560460013,0.075060302,0.147609771,0.147780843,-0.038450215,-0.600911336,-0.706118247,1.715289409,0.025671129,0.246270684,1.132833356,1.088445742,-0.334906821,1.23821175,1.190950896,1.946052145,-0.918781575,-1.16006583,1.422079474,-1.138356873,-0.115531282,2.215077812,0.263402388,-2.896072776,-0.126324279,-0.244055193,0.335814173,0.343500093,1.498565511,-0.034505527,0.063948529,0.542148504,2.078420606,-0.424626508,-0.201806758,-1.339015351,0.270727442,-2.642849249,-3.534194812,0.011158082,-2.596884494,0.248814338,-0.284195032,1.067259369,1.010853425,-2.098399615,1.457528138,-1.096449272,0.996083763,-1.116755068,0.150837127,-0.107223733,-0.495301962,0.180639889,-0.714842486,-0.487465701,1.355365968,-0.316266964,0.138610699,-1.258780844,1.502354985,-0.041330796,-0.657951226,0.968709353,1.560357066,0.043715658,0.585348341,1.431519572,-0.266479551,0.286295962
4.32161563,II-VI,ZnO,M_i_A,In,-2.018584947,-1.707050546,-2.029525888,0.88709528,-1.773980003,-1.865623832,2.123165999,-0.360739222,2.027435647,1.581395874,2.031799842,2.031885585,2.16952337,2.169698518,0.514926024,1.400426882,1.400258555,-0.485214067,-2.077578393,-1.424038533,-1.423851698,1.750907399,-0.566452139,-0.712185577,-1.787669836,0.705648348,1.472180561,-1.886334549,-1.905743903,-0.520659856,-1.880689577,-1.888954333,-0.89632866,-0.906364502,0.582839859,-1.337323781,-1.117351529,-0.31426275,-0.94729791,-0.687142245,0.849217326,0.273258501,-1.09042111,-0.394346164,1.940297834,-0.031244248,2.759046375,0.567269178,-2.495427539,-0.476168884,-4.288040693,-0.347302691,-3.445104721,0.876358309,-0.898965542,-0.780204344,0.024793125,-0.167506881,-0.092125425,-0.440326824,0.081020914,0.06638573,1.15823882,-0.05957107,-0.994387189,0.247175153,-1.128949293,-0.276467384,-0.203275845,-0.410275772,-0.193690728,1.101416727,-0.398986108,0.06803594,-0.387176425,-0.160396951,-0.233049569,-0.56136846,0.270631595,-0.206457374,0.775603195,-0.017914764,0.082951017,0.977224677,0.602342497,-0.1893874,0.012168891
3.7704054,II-VI,ZnO,M_A,Re,-2.018584947,-1.707050546,-2.029525888,0.88709528,-1.773980003,-1.865623832,2.123165999,-0.360739222,2.027435647,1.581395874,2.031799842,2.031885585,2.16952337,2.169698518,0.514926024,1.400426882,1.400258555,-0.485214067,-2.077578393,-1.424038533,-1.423851698,1.750907399,-0.566452139,-0.712185577,-1.787669836,0.705648348,1.472180561,-1.886334549,-1.905743903,-0.520659856,-1.880689577,-1.888954333,-0.89632866,-0.522426296,0.582839859,-1.337323781,-1.321704256,-0.31426275,-0.94729791,-0.687142245,0.490393504,0.273258501,-1.09042111,-0.394346164,1.940297834,-0.031244248,2.759046375,0.567269178,-2.495427539,-0.514442165,-4.288040693,-0.347302691,-3.445104721,0.876358309,-0.898965542,-0.780204344,0.024793125,-0.167506881,-0.397774739,0.04178503,-0.090291875,-0.015420507,1.15823882,0.089452946,-0.956113907,-1.791557932,-1.090676011,0.141978828,-1.340314697,0.994236356,0.321704167,1.101416727,1.020049677,0.615222084,-0.499488334,1.697354534,1.971731031,-0.56136846,0.095624131,1.595830333,-1.628214074,0.113113963,-1.09013722,0.938951396,-1.024607387,-0.780161336,-0.250232848
3.33322369,IV-IV,GeC,M_i_A,Mo,0.167800905,-0.991796327,0.367087666,-0.146470371,-0.169442476,0.07383116,0.684334831,-0.220548972,0.773628346,0.106286578,0.453800514,0.453664757,0.626922459,0.62682517,1.676017201,-0.249960992,-0.250131074,0.560460013,0.075060302,0.147609771,0.147780843,-0.038450215,-0.600911336,-0.706118247,1.715289409,0.025671129,0.246270684,1.132833356,1.088445742,-0.334906821,1.23821175,1.190950896,1.946052145,-0.942318706,-1.16006583,1.422079474,-0.724971637,-0.115531282,2.215077812,0.263402388,-2.596608625,-0.126324279,-0.244055193,0.335814173,0.343500093,1.498565511,-0.034505527,0.063948529,0.542148504,1.989116283,-0.424626508,-0.201806758,-1.339015351,0.270727442,-2.642849249,-3.534194812,0.011158082,-2.596884494,-0.412784274,-0.160243233,-0.019084711,-0.251968297,-2.098399615,-0.282717954,-1.007144949,-0.842637623,-1.027450745,-0.114771392,-0.907829785,0.291926745,-0.075114751,-0.714842486,0.309734348,-0.437529335,-0.411778241,1.499728242,0.850643625,1.502354985,-0.434410451,0.711646222,-0.903835265,-0.285920998,-0.697983999,0.496044018,-0.995691172,-0.960528662,-0.319304958
3.18446739,IV-IV,SiC,M_A,Rb,-0.039476837,-1.297440457,0.179654923,-0.146470371,-0.623424503,-0.347525245,0.684334831,-0.220548972,0.892029819,0.106308291,0.583209065,0.583089194,0.746959947,0.74688164,1.676017201,-0.249939471,-0.250109553,0.179003921,-0.187528898,-0.110158787,-0.109980966,-0.077638865,-0.600911336,-0.942710973,1.715289409,1.038043301,1.239699161,0.863478133,0.873767941,-1.247270156,0.348145004,0.352404842,1.554048591,-0.832778423,-0.646051917,0.57440755,0.390954253,-0.212709451,2.797847003,2.727981466,-2.497142511,-0.203218784,0.724726701,3.077757851,0.102474741,1.498593545,-0.034505527,-0.075206045,0.12981683,3.226619045,0.12525224,3.039246124,0.342376452,-0.008490287,0.082976066,-1.485512659,0.012821896,-0.085044768,2.489543283,-2.299107406,0.65004521,3.057558983,-0.111179942,1.145330272,-2.24464771,2.501537474,-2.264953507,0.506115112,2.308185522,-2.905038103,0.532609234,-1.95025884,-2.921236389,2.347656981,-1.937950452,-1.756200608,-2.434588186,0.278149827,2.461870908,-1.874481698,2.722039192,4.10120356,3.241371342,1.73354678,2.861128752,2.23522599,3.363647123
2.55948335,IV-IV,SnC,M_i_A,Sn,0.375078646,-0.686152196,0.554520409,-0.146470371,-0.375797943,-0.117694479,0.684334831,-0.220548972,0.512950204,0.58212224,0.168888684,0.168717951,0.36255418,0.362415086,1.676017201,0.221667982,0.221491202,-0.484608581,0.647982193,0.710013896,0.710170244,-0.041331733,-0.600911336,-0.114636429,1.715289409,0.102661975,0.321820864,1.621726243,1.633575048,0.609740501,1.791527125,1.794394207,2.338055699,-0.932992087,-0.926423143,1.894928706,-0.833840514,-0.314197522,-0.849160197,-1.37965033,-2.521676594,-0.482507237,-0.170379385,-1.492148278,0.946063474,2.112895432,-0.034505527,-5.399806358,-1.367812623,1.619141231,-0.043388371,-2.358895465,-0.213916886,0.879929761,-0.15321172,0.927049598,0.011359987,-0.14490915,-0.508905667,-0.388641353,0.261426257,-0.201831409,0.147344803,0.224419463,-0.637169897,-0.24736035,-0.657475693,0.016149921,-0.520828312,0.190052505,-0.009773379,-0.350183207,0.205982534,0.130580625,-0.074105199,0.392978113,0.314932305,-0.703162416,-0.286150388,-0.268149924,0.34461487,0.185774613,-0.100366177,0.126068966,0.404041065,-0.538513415,-0.203786225
2.18860742,III-V,BAs,M_i_A,S,-0.061852627,-1.013798449,-0.101248561,0.09483279,1.231236082,1.094121797,-0.777884522,-0.211367615,0.071615231,-0.783442708,0.16102412,0.162600931,-1.122717387,-1.121297554,-1.426406769,-0.701462674,-0.700040694,0.126326651,-0.956474814,-1.096420988,-1.097814905,0.523605285,0.212052684,-0.539563634,-0.031144233,-1.543284524,-1.083151419,-0.289801487,-0.244005585,-0.326616728,-0.223074174,-0.178628419,0.45248384,0.189281731,1.27671075,-0.580898523,0.549279311,-0.223446795,-0.186399612,-0.104496001,0.069773031,-2.192370006,-1.337468076,0.382010456,-1.49432061,-1.113660483,0.206767512,0.267441529,-0.245099098,-0.963724104,-3.57E-06,0.39177642,-0.06361033,-0.816199913,-0.088038451,0.851134559,0.015647428,-0.135411358,-1.78894967,0.449561489,-0.853183025,-0.908498685,-0.022033503,-0.339624838,1.37366206,-0.076965035,1.374518524,0.653425171,-1.802529841,1.712225177,1.017997862,-0.113871117,1.741460113,-0.654852034,0.677547324,2.490684945,0.119351703,-0.074657032,-1.796007067,-0.008089903,-0.431225965,0.518102543,-1.237712049,-1.564886343,0.092252362,-1.92859457,-0.805834433
2.9533486,III-V,AlP,M_B,Zr,-0.252204403,0.26112696,-0.114695098,-0.166576171,-0.959144513,-0.76856423,-0.551669948,-0.037691808,-0.803139273,1.490352807,-0.794471515,-0.794856568,-0.556912761,-0.557295796,-0.717841573,1.552756709,1.552473913,0.518883317,-0.026962966,-0.265706763,-0.265437106,0.113003487,-0.565728479,-0.446824833,-0.659001019,2.09687891,1.513038535,-0.299689139,-0.277529389,-1.308552824,-0.149269706,-0.126735696,-0.316398473,-0.799401123,0.785507162,-1.30526541,-0.092975054,-0.128010271,-0.475115265,-0.179130057,0.675625304,-1.421314183,2.435037021,-0.3570015,-0.138553002,1.471899233,-0.834644207,-0.018034399,0.185831719,-0.10128761,0.032746089,-0.736493458,0.036120334,-1.19337991,-0.105262629,0.535656127,-0.000352422,-0.074397006,0.091507948,0.186048483,0.308858485,0.373760231,-0.501057217,0.265610812,-0.59496483,-1.073644211,-0.390458919,-0.139720509,-0.01039251,-0.788637425,-0.315795961,-0.065877437,-0.935205711,0.361432225,0.193647516,0.135043541,1.06265839,0.586802341,0.227607311,-0.652155127,-0.543079847,0.118043226,0.582336533,0.827866847,-0.484450086,0.368026194,0.034672063
2.56422655,IV-IV,SnC,M_B,Nb,0.375078646,-0.686152196,0.554520409,-0.146470371,-0.375797943,-0.117694479,0.684334831,-0.220548972,0.512950204,0.58212224,0.168888684,0.168717951,0.36255418,0.362415086,1.676017201,0.221667982,0.221491202,-0.484608581,0.647982193,0.710013896,0.710170244,-0.041331733,-0.600911336,-0.114636429,1.715289409,0.102661975,0.321820864,1.621726243,1.633575048,0.609740501,1.791527125,1.794394207,2.338055699,-0.932435703,-0.926423143,1.894928706,-1.138356873,-0.314197522,-0.849160197,-1.37965033,-2.959408186,-0.482507237,-0.170379385,-1.492148278,0.946063474,2.112895432,-0.034505527,-5.399806358,-1.367812623,2.078420606,-0.043388371,-2.358895465,-0.213916886,0.879929761,-0.15321172,0.927049598,0.011359987,-0.14490915,0.248814338,-0.284195032,1.067259369,1.010853425,0.147344803,1.457528138,-1.096449272,0.996083763,-1.116755068,0.150837127,-0.107223733,-0.495301962,0.180639889,-0.350183207,-0.487465701,1.355365968,-0.316266964,0.138610699,-1.258780844,-0.703162416,-0.041330796,-0.657951226,0.968709353,1.560357066,0.043715658,0.585348341,1.431519572,-0.266479551,0.286295962
3.07664264,II-VI,CdS,M_i_A,Ta,-0.987646062,-1.028605924,-0.958224317,-1.38916319,-0.747753931,-0.76391496,1.601188207,1.459344103,0.906904319,0.528972398,0.707185253,0.707112922,0.831062875,0.831031025,1.143170049,0.266687134,0.266539024,-0.065410538,0.119547845,0.347943215,0.348079512,-2.324188095,-0.566487935,-0.179812135,0.838529141,0.484978413,0.251601808,-0.812861004,-0.846517615,0.442881655,-0.89504058,-0.92238924,-1.572657126,-0.659926792,0.381810856,-0.200516333,-0.441057555,-0.25808225,0.111549254,0.390280956,0.202215788,0.01104006,1.624974925,-0.050726745,-0.650734267,-0.161376426,-1.578021871,0.449222344,-0.163650084,-0.141869239,0.007973688,0.034885142,-0.043180565,-1.324857191,-0.103992918,-0.954504072,0.014481688,-0.13310117,-0.255484804,-0.182686483,0.126095699,-0.102189875,0.029175777,-0.122855905,-0.505660507,-1.199818256,-0.415410904,0.200813714,-0.221786344,0.455915403,0.04757312,-0.039578443,0.475010649,0.359799736,-0.442729817,0.450874826,1.108011295,-0.063790514,-0.548879011,0.730533531,-1.068000711,0.008003156,-0.517142038,0.600447042,-0.897246668,-0.157764288,-0.167308106
4.5090339,II-VI,ZnS,M_i_A,Y,-1.194923804,-1.334250054,-1.14565706,-1.38916319,-0.912838305,-0.917135471,1.601188207,1.459344103,1.095469629,0.649298699,0.913280353,0.913233322,1.022074911,1.022073265,1.143170049,0.385949674,0.38579987,0.921531414,-0.64434801,-0.401928952,-0.401773023,-2.324188095,-0.566487935,-0.71214577,0.838529141,0.705608898,0.468103815,-1.886334549,-1.905743903,-0.520617632,-1.880689577,-1.888954333,-1.962232578,-0.840681028,0.58277209,-1.337323781,-0.605343012,0.017723185,0.08897548,0.006647645,0.485394474,-0.060318935,1.836105599,-0.171024106,-1.19304131,-0.006028577,-1.578021871,0.170686154,-0.054622747,0.087770449,-0.790263326,-0.058054407,-0.643337259,-2.137126949,-0.247391707,-1.02589984,0.018068746,-0.152763519,0.519414463,-0.80418349,0.737289267,0.562966436,0.368778987,0.571349314,-0.735300195,0.032653679,-0.645050592,-0.607812539,0.682168961,-0.552625178,-0.649899539,-0.033475359,-0.545362781,0.066148818,-0.686879274,-0.160396951,-0.005564072,-0.170342829,0.505389412,-0.39927701,0.204146255,0.139945985,0.621180018,0.83008673,0.324561075,0.794490063,0.473161241
3.97381766,IV-IV,SiC,M_i_B,Ir,-0.039476837,-1.297440457,0.179654923,-0.146470371,-0.623424503,-0.347525245,0.684334831,-0.220548972,0.892029819,0.106308291,0.583209065,0.583089194,0.746959947,0.74688164,1.676017201,-0.249939471,-0.250109553,0.179003921,-0.187528898,-0.110158787,-0.109980966,-0.077638865,-0.600911336,-0.942710973,1.715289409,1.038043301,1.239699161,0.863478133,0.873767941,-1.247270156,0.348145004,0.352404842,1.554048591,-0.584256328,-0.646051917,0.57440755,-0.75241207,-0.212709451,2.797847003,2.727981466,-1.344359341,-0.203218784,0.724726701,3.077757851,0.102474741,1.498593545,-0.034505527,-0.075206045,0.12981683,1.810507638,0.12525224,3.039246124,0.342376452,-0.008490287,0.082976066,-1.485512659,0.012821896,-0.085044768,-0.487406492,-0.066874603,-0.043519552,-0.45279393,-0.111179942,-0.314041289,-0.828536303,-0.912040773,-0.848842099,-0.117308626,-0.8759008,0.841507623,-0.092935125,-1.95025884,0.85605223,0.333322598,-0.218866497,-0.102500238,0.921576096,0.278149827,-0.876008003,1.816766193,-0.972651576,-0.414565255,-0.655817483,0.317435373,-0.659430362,-0.935819861,-0.48994906
2.87431355,III-V,BP,M_i_A,Au,-0.459482144,-0.044517171,-0.30212784,-0.166576171,0.815512503,0.87855626,-0.551669948,-0.037691808,0.28342569,-0.571602441,0.393104898,0.392865634,-0.884634159,-0.885069016,-0.717841573,-0.490969552,-0.491223321,0.166692375,-1.089255639,-1.308497745,-1.308200787,-0.144378113,-0.565728479,-1.777658922,-0.659001019,-0.316267016,-0.854952158,-0.289801487,-0.244005585,-1.639907646,-0.223074174,-0.178628419,-0.601707511,-0.520563907,-1.378413961,-0.580898523,0.17603373,-0.215269829,0.237035322,0.403455629,-0.04025746,2.70216606,0.125795278,-0.991415651,-1.49432061,-1.19019801,-0.834644207,0.267441529,0.085906531,-0.573324746,0.030182915,-0.815131706,0.026894058,-2.322942543,-0.07441157,0.437435827,0.015078706,-0.078656428,-0.219796153,-0.155205225,-0.173407125,-0.441210151,-0.022033503,-0.476547661,-0.122927695,-0.275083317,0.081578216,0.178903355,-0.809496822,0.550779722,0.04901079,-0.04197765,0.567728898,0.474528018,-0.067651035,-0.655875302,0.342734813,0.090655164,-0.521267253,1.039893592,-0.132025756,-0.004115505,-0.2297595,0.355829712,-0.037516715,-0.930379773,-0.471233601
3.47994119,IV-IV,GeC,M_i_B,Ru,0.167800905,-0.991796327,0.367087666,-0.146470371,-0.169442476,0.07383116,0.684334831,-0.220548972,0.773628346,0.106286578,0.453800514,0.453664757,0.626922459,0.62682517,1.676017201,-0.249960992,-0.250131074,0.560460013,0.075060302,0.147609771,0.147780843,-0.038450215,-0.600911336,-0.706118247,1.715289409,0.025671129,0.246270684,1.132833356,1.088445742,-0.334906821,1.23821175,1.190950896,1.946052145,-0.810514846,-1.16006583,1.422079474,-0.707174046,-0.115531282,2.215077812,0.263402388,-2.393871703,-0.126324279,-0.244055193,0.335814173,0.343500093,1.498565511,-0.034505527,0.063948529,0.542148504,1.836023158,-0.424626508,-0.201806758,-1.339015351,0.270727442,-2.642849249,-3.534194812,0.011158082,-2.596884494,-0.483490775,-0.050643462,-0.11771007,-0.425434462,-2.098399615,-0.352472763,-0.854051824,-0.903209992,-0.87435762,-0.133546929,-0.8929835,0.3293476,-0.104815374,-0.714842486,0.347278935,-0.442143143,-0.267829474,-0.160396951,0.780935836,1.502354985,-0.451005179,1.087388988,-0.87004928,-0.500328093,-0.723738902,0.342950893,-0.675825707,-0.952868588,-0.48517392
